id,propositions,nl_sentence,dataset_tl
0,"['prop_1', 'prop_2', 'prop_3']","Globally , everytime when ( prop_2 ) and ( prop_1 ) then all of the following conditions are true : ( prop_3 ) .",G((prop_2 & prop_1) -> prop_3)
1,"['prop_1', 'prop_2', 'prop_3']","Globally , everytime when the transition action that ( prop_3 ) happens , or ( prop_1 ) , then all of the following conditions hold : ( prop_2 ) .",G((prop_3 | prop_1) -> prop_2)
2,"['prop_1', 'prop_2', 'prop_3']","It is always the case that everytime when the scenario that ( prop_2 ) gets observed , then the following condition is true : at the same time ( prop_3 ) , or ( prop_1 ) .",G(prop_2 -> (prop_3 | prop_1))
3,"['prop_1', 'prop_2', 'prop_3', 'prop_4']","During the interval that ( prop_4 ) , and ( prop_1 ) then in response ( prop_3 ) and ( prop_2 ) .",G((prop_4 & prop_1) -> (prop_3 & prop_2))
4,"['prop_1', 'prop_2']",( prop_1 ) or never ( prop_2 ),(prop_1 | G(~prop_2))
5,"['prop_1', 'prop_2']","In case that the scenario that ( prop_1 ) gets detected , then the following condition holds : starting without any delay ( prop_2 ) .",G(prop_1 -> prop_2)
6,"['prop_1', 'prop_2', 'prop_3']",Everytime when ( prop_2 ) or ( prop_1 ) then the following condition is true : in no time ( prop_3 ) .,G((prop_2 | prop_1) -> prop_3)
7,"['prop_1', 'prop_2', 'prop_3']","As long as (prop_1) is always true, then either (prop_3) or (prop_2) can happen .",( G prop_1 -> (prop_3 | prop_2))
8,"['prop_1', 'prop_2', 'prop_3']","It is always the case that while ( prop_1 ) , or ( prop_3 ) , then the following condition holds : instantly ( prop_2 ) .",G((prop_1 | prop_3) -> prop_2)
9,"['prop_1', 'prop_2', 'prop_3']","It is always the case that whenever the transition action that ( prop_2 ) gets detected , then the following condition is true : at the same time instant ( prop_1 ) and at once ( prop_3 ) .",G(prop_2 -> (prop_1 & prop_3))
10,"['prop_1', 'prop_2', 'prop_3']",It is always the case that in case that the scenario that ( prop_3 ) occurs then ( prop_1 ) and ( prop_2 ) .,G(prop_3 -> (prop_1 & prop_2))
11,"['prop_1', 'prop_2', 'prop_3', 'prop_4']","It is always the case that when ( prop_2 ) and ( prop_3 ) then the following condition is true : promptly ( prop_4 ) , and ( prop_1 ) .",G((prop_2 & prop_3) -> (prop_4 & prop_1))
12,"['prop_1', 'prop_2', 'prop_3', 'prop_4']","Globally , while ( prop_3 ) , or ( prop_4 ) , then in response at the same time ( prop_1 ) or at the same time ( prop_2 ) .",G((prop_3 | prop_4) -> (prop_1 | prop_2))
13,"['prop_1', 'prop_2', 'prop_3']","In the case the scenario that ( prop_2 ) is detected then ( prop_3 ) , and ( prop_1 ) .",G(prop_2 -> (prop_3 & prop_1))
14,"['prop_1', 'prop_2', 'prop_3']","It is always the case that whenever the scenario that ( prop_2 ) happens , or ( prop_3 ) , then all of the following conditions are true : instantly ( prop_1 ) .",G((prop_2 | prop_3) -> prop_1)
15,"['prop_1', 'prop_2']",( prop_1 ) and at some time ( prop_2 ),(prop_1 & F prop_2)
16,"['prop_1', 'prop_2', 'prop_3']","Everytime when the transition action that ( prop_1 ) takes place , then all of the following conditions hold : ( prop_3 ) , or ( prop_2 ) .",G(prop_1 -> (prop_3 | prop_2))
17,"['prop_1', 'prop_2', 'prop_3']","While ( prop_1 ) then all of the following conditions are true : right away ( prop_3 ) , and ( prop_2 ) .",G(prop_1 -> (prop_3 & prop_2))
18,"['prop_1', 'prop_2', 'prop_3']","If (prop_1) happens and continues until (prop_2), then (prop_3) should not happen .",((prop_1 U prop_2) -> ~prop_3)
19,"['prop_1', 'prop_2']",when possible ( prop_1 ) or when possible ( prop_2 ),F(prop_1 | F prop_2)
20,"['prop_1', 'prop_2', 'prop_3']","As soon as ( prop_2 ) , or ( prop_3 ) , then all of the following conditions hold : ( prop_1 ) .",G((prop_2 | prop_3) -> prop_1)
21,"['prop_1', 'prop_2']","It is always the case that whenever the transition action that ( prop_1 ) gets observed , then in response ( prop_2 ) .",G(prop_1 -> prop_2)
22,"['prop_1', 'prop_2', 'prop_3', 'prop_4']","It is always the case that if ( prop_3 ) , and ( prop_2 ) , then the following condition holds : ( prop_1 ) , or ( prop_4 ) .",G((prop_3 & prop_2) -> (prop_1 | prop_4))
23,"['prop_1', 'prop_2', 'prop_3']","Globally , if ( prop_1 ) , or ( prop_2 ) , then all of the following conditions are true : at the same time point ( prop_3 ) .",G((prop_1 | prop_2) -> prop_3)
24,"['prop_1', 'prop_2', 'prop_3', 'prop_4']","When ( prop_1 ) , and ( prop_3 ) then the following condition is true : ( prop_4 ) and this condition shall always hold until ( prop_2 ) .",G((prop_1 & prop_3) -> (prop_4 U prop_2))
25,"['prop_1', 'prop_2', 'prop_3']","It is always the case that when ( prop_2 ) , and ( prop_1 ) , then the following condition is true : ( prop_3 ) .",G((prop_2 & prop_1) -> prop_3)
26,"['prop_1', 'prop_2', 'prop_3']","On condition that ( prop_3 ) or ( prop_2 ) , then ( prop_1 ) .",G((prop_3 | prop_2) -> prop_1)
27,"['prop_1', 'prop_2', 'prop_3']","Everytime when ( prop_3 ) , then all of the following conditions hold : ( prop_1 ) and at once ( prop_2 ) .",G(prop_3 -> (prop_1 & prop_2))
28,"['prop_1', 'prop_2', 'prop_3']","In case that the event that ( prop_2 ) is observed , or ( prop_3 ) then all of the following conditions hold : ( prop_1 ) .",G((prop_2 | prop_3) -> prop_1)
29,"['prop_1', 'prop_2', 'prop_3']","On condition that the scenario that ( prop_1 ) gets observed , then the following condition is true : ( prop_3 ) and ( prop_2 ) .",G(prop_1 -> (prop_3 & prop_2))
30,"['prop_1', 'prop_2']",at any time ( prop_1 ) or ( prop_2 ),F(prop_1 | prop_2)
31,"['prop_1', 'prop_2']","if when possible ( prop_1 ) , whenever ( prop_2 )",( F prop_1 -> F prop_2)
32,"['prop_1', 'prop_2']",forever ( prop_1 ) and whenever ( prop_2 ),G(prop_1 & F prop_2)
33,"['prop_1', 'prop_2', 'prop_3']",Whenever the event that ( prop_3 ) gets observed then the following condition is true : the transition action that ( prop_1 ) is not observed or ( prop_2 ) .,G(prop_3 -> (prop_1 | prop_2))
34,"['prop_1', 'prop_2', 'prop_3']","Everytime when ( prop_3 ) , and the scenario that ( prop_2 ) is observed then all of the following conditions hold : there must be a certain moment in the future , at which ( prop_1 ) .",G((prop_3 & prop_2) -> F prop_1)
35,"['prop_1', 'prop_2', 'prop_3']","Globally , whenever ( prop_3 ) and ( prop_1 ) , then the following condition is true : at the same time ( prop_2 ) .",G((prop_3 & prop_1) -> prop_2)
36,['prop_1'],(prop_1).,prop_1
37,"['prop_1', 'prop_2']","Globally , whenever ( prop_1 ) then all of the following conditions are true : ( prop_2 ) .",G(prop_1 -> prop_2)
38,"['prop_1', 'prop_2']","In the event that ( prop_1 ) , then in response ( prop_2 ) .",G(prop_1 -> prop_2)
39,"['prop_1', 'prop_2']","While ( prop_1 ) is not detected , and the scenario that ( prop_2 ) should be observed .",(~prop_1 & prop_2)
40,"['prop_1', 'prop_2']","If (prop_2), (prop_1).",prop_2 -> prop_1
41,"['prop_1', 'prop_2', 'prop_3']","If it is not the case that (prop_3), then either (prop_2) or (prop_1) should happen .",(~prop_3 -> (prop_2 | prop_1))
42,"['prop_1', 'prop_2', 'prop_3']",If the event that ( prop_2 ) gets observed and the event that ( prop_3 ) is n't observed then all of the following conditions hold : ( prop_1 ) .,G((prop_2 & prop_3) -> prop_1)
43,"['prop_1', 'prop_2', 'prop_3']",In the case ( prop_3 ) and ( prop_1 ) then the following condition holds : without any delay ( prop_2 ) .,G((prop_3 & prop_1) -> prop_2)
44,"['prop_1', 'prop_2', 'prop_3']","In case that ( prop_1 ) , and ( prop_2 ) , then the transition action that ( prop_3 ) is promptly detected .",G((prop_1 & prop_2) -> prop_3)
45,"['prop_1', 'prop_2']",at some time ( prop_1 ) means that when possible ( prop_2 ),( F prop_1 -> F prop_2)
46,"['prop_1', 'prop_2', 'prop_3']",It is not the case that if at some point ( prop_3 ) then ( prop_2 ) happens and this scenario will hold until at some other point ( prop_1 ) is detected .,~((prop_3 -> prop_2) U prop_1)
47,"['prop_1', 'prop_2']",when possible ( prop_1 ) or when possible ( prop_2 ),F(prop_1 | F prop_2)
48,"['prop_1', 'prop_2']",In case that the event that ( prop_1 ) is detected then all of the following conditions hold : ( prop_2 ) .,G(prop_1 -> prop_2)
49,"['prop_1', 'prop_2', 'prop_3']","If it is not the case that ( prop_2 ) and ( prop_1 ) , then ( prop_3 ) .",(~(prop_2 & prop_1) -> prop_3)
50,"['prop_1', 'prop_2', 'prop_3', 'prop_4']","If either (prop_2) or (prop_4) occurs, then (prop_1) and (prop_3) should both be true .",((prop_2 | prop_4) -> (prop_1 & prop_3))
51,"['prop_1', 'prop_2']",never ( prop_1 ) and at any time ( prop_2 ),G(~prop_1 & F prop_2)
52,"['prop_1', 'prop_2']",( prop_1 ) until ( prop_2 ),(prop_1 U prop_2)
53,"['prop_1', 'prop_2', 'prop_3']",As soon as ( prop_3 ) then at the same time instant ( prop_1 ) and at the same moment ( prop_2 ) .,G(prop_3 -> (prop_1 & prop_2))
54,"['prop_1', 'prop_2', 'prop_3', 'prop_4', 'prop_5', 'prop_6']","(prop_4) and (prop_3). Once (prop_2), (prop_5), (prop_6), and (prop_1).",((prop_4 & prop_3) -> (prop_2 -> (prop_5 & prop_6 & prop_1)))
55,"['prop_1', 'prop_2', 'prop_3']",If ( prop_2 ) and ( prop_1 ) then immediately ( prop_3 ) .,G((prop_2 & prop_1) -> prop_3)
56,"['prop_1', 'prop_2', 'prop_3']","As soon as the transition action that ( prop_2 ) takes place , then all of the following conditions are true : at the same moment ( prop_3 ) or at the same time point ( prop_1 ) .",G(prop_2 -> (prop_3 | prop_1))
57,"['prop_1', 'prop_2']",repeatedly ( prop_1 ) until at any time ( prop_2 ),G( F prop_1 U F prop_2)
58,"['prop_1', 'prop_2']","Globally , everytime when ( prop_1 ) then the following condition is true : right away ( prop_2 ) .",G(prop_1 -> prop_2)
59,"['prop_1', 'prop_2', 'prop_3']","As soon as ( prop_2 ) , and ( prop_1 ) then in response ( prop_3 ) .",G((prop_2 & prop_1) -> prop_3)
60,"['prop_1', 'prop_2', 'prop_3']","When ( prop_2 ) and ( prop_1 ) happen, then ( prop_3 ) will also happen.",G((prop_2 & prop_1) -> prop_3)
61,"['prop_1', 'prop_2']",It is always the case that when the event that ( prop_1 ) takes place then the following condition is true : at once ( prop_2 ) .,G(prop_1 -> prop_2)
62,"['prop_1', 'prop_2', 'prop_3']","Whenever the transition action that ( prop_2 ) takes place , then all of the following conditions are true : ( prop_1 ) , or immediately ( prop_3 ) .",G(prop_2 -> (prop_1 | prop_3))
63,"['prop_1', 'prop_2']","Globally , in case that the transition action that ( prop_1 ) is detected , then the following condition holds : ( prop_2 ) .",G(prop_1 -> prop_2)
64,"['prop_1', 'prop_2', 'prop_3']",It is always the case that everytime when the transition action that ( prop_1 ) takes place and the transition action that ( prop_3 ) is observed then all of the following conditions are true : ( prop_2 ) .,G((prop_1 & prop_3) -> prop_2)
65,"['prop_1', 'prop_2']",( prop_1 ) and whenever ( prop_2 ),(prop_1 & F prop_2)
66,"['prop_1', 'prop_2']",whenever ( prop_1 ) and at some time ( prop_2 ),F(prop_1 & F prop_2)
67,"['prop_1', 'prop_2', 'prop_3']",It is always the case that if ( prop_2 ) then at the same moment ( prop_1 ) and simultaneously ( prop_3 ) .,G(prop_2 -> (prop_1 & prop_3))
68,"['prop_1', 'prop_2', 'prop_3']","Everytime when ( prop_2 ) , and the scenario that ( prop_3 ) happens then at the same time instant ( prop_1 ) .",G((prop_2 & prop_3) -> prop_1)
69,"['prop_1', 'prop_2', 'prop_3', 'prop_4']","Globally , during the interval that ( prop_3 ) , or ( prop_4 ) , then all of the following conditions hold : the transition action that ( prop_2 ) must simultaneously not get observed and starting without any delay ( prop_1 ) .",G((prop_3 | prop_4) -> (prop_2 & prop_1))
70,"['prop_1', 'prop_2', 'prop_3', 'prop_4']","If at some point ( prop_3 ) or ( prop_4 ) then ( prop_1 ) happens, and ( prop_2 ) .",(((prop_3 | prop_4) -> prop_1) & prop_2)
71,"['prop_1', 'prop_2']",at some time ( prop_1 ) or at any time ( prop_2 ),F(prop_1 | F prop_2)
72,"['prop_1', 'prop_2', 'prop_3']","If ( prop_1 ) , and the event that ( prop_2 ) is observed , then in response for each time instant in the future until the execution ends , at a certain time instant starting at most 59 time units ( prop_3 ) .",G((prop_1 & prop_2) -> G( F prop_3))
73,"['prop_1', 'prop_2', 'prop_3']",On condition that the event that ( prop_2 ) is detected then the following condition holds : promptly ( prop_3 ) or immediately the event that ( prop_1 ) is observed .,G(prop_2 -> (prop_3 | prop_1))
74,"['prop_1', 'prop_2', 'prop_3']","If you always see (prop_3), then you should either do (prop_1) or (prop_2) .",( G prop_3 -> (prop_1 | prop_2))
75,"['prop_1', 'prop_2', 'prop_3']","It is always the case that while ( prop_3 ) , and ( prop_1 ) then in response ( prop_2 ) .",G((prop_3 & prop_1) -> prop_2)
76,"['prop_1', 'prop_2', 'prop_3']","If either the event ( prop_2 ) or the transition action ( prop_1 ) is detected, then all of the following conditions will be met: ( prop_3 ) .",G((prop_2 | prop_1) -> G prop_3)
77,"['prop_1', 'prop_2']",( prop_1 ) or ( prop_2 ),(prop_1 | prop_2)
78,"['prop_1', 'prop_2']",when possible ( prop_1 ) and at some time ( prop_2 ),F(prop_1 & F prop_2)
79,"['prop_1', 'prop_2']","when at any time ( prop_1 ) , ( prop_2 )",( F prop_1 -> prop_2)
80,"['prop_1', 'prop_2', 'prop_3']","It is always the case that if the transition action that ( prop_1 ) is detected , then ( prop_2 ) , or ( prop_3 ) .",G(prop_1 -> (prop_2 | prop_3))
81,"['prop_1', 'prop_2', 'prop_3', 'prop_4']","If it is the case that ( prop_4 ) then implies ( prop_2 ) , or else ( prop_3 ) , until ( prop_1 ) .",(((prop_4 -> prop_2) | prop_3) U prop_1)
82,"['prop_1', 'prop_2', 'prop_3']",If ( prop_3 ) or ( prop_1 ) then the following condition is true : at the same time point ( prop_2 ) .,G((prop_3 | prop_1) -> prop_2)
83,"['prop_1', 'prop_2', 'prop_3']","In the case ( prop_3 ) then in response simultaneously ( prop_1 ) , or ( prop_2 ) .",G(prop_3 -> (prop_1 | prop_2))
84,"['prop_1', 'prop_2', 'prop_3']","If (prop_1) does not happen, then (prop_3) should happen, and then eventually (prop_2) will happen as well .",((~prop_1 -> prop_3) -> F prop_2)
85,"['prop_1', 'prop_2', 'prop_3']",Everytime when ( prop_2 ) and ( prop_1 ) then in response ( prop_3 ) .,G((prop_2 & prop_1) -> prop_3)
86,"['prop_1', 'prop_2', 'prop_3', 'prop_4']","Globally , in case that ( prop_1 ) or the scenario that ( prop_2 ) then the following condition is true : right away ( prop_3 ) or at the same time ( prop_4 ) .",G((prop_1 | prop_2) -> (prop_3 | prop_4))
87,"['prop_1', 'prop_2']","It is always the case that everytime when ( prop_1 ) , then the following condition holds : without any delay ( prop_2 ) .",G(prop_1 -> prop_2)
88,"['prop_1', 'prop_2', 'prop_3']",It is always the case that everytime when ( prop_2 ) and ( prop_1 ) then the following condition is true : ( prop_3 ) .,G((prop_2 & prop_1) -> prop_3)
89,"['prop_1', 'prop_2', 'prop_3']","In case that ( prop_3 ) , or ( prop_2 ) then ( prop_1 ) and consecutively this scenario continues in the future before the end of the execution .",G((prop_3 | prop_2) -> G prop_1)
