id,propositions,nl_sentence,dataset_tl
2492,"['acquire_pear', 'go_to_waste_basket']",when possible acquire pear and repeatedly go to waste basket,F(acquire_pear)&G(F(go_to_waste_basket))
2213,"['got_to_house', 'go_near_house']",at any time got to house and when possible go near house,F(got_to_house)&F(go_near_house)
3481,"['hold_apple', 'gather_pear']",hold apple and whenever gather pear,hold_apple&F(gather_pear)
1719,"['bring_pear', 'go_by_waste_basket']",whenever bring pear and whenever go by waste basket,F(bring_pear)&F(go_by_waste_basket)
2304,"['advance_to_tree', 'get_to_flag']",advance to tree means that when possible get to flag,advance_to_tree->F(get_to_flag)
2135,"['drop_pear', 'take_to_trashcan']",drop pear until take to trashcan,drop_pearUtake_to_trashcan
2010,"['grab_pear', 'tax_apple']",when possible grab pear or when possible tax apple,F(grab_pear)|F(tax_apple)
4873,"['get_hold_apple', 'acquire_pear']",at some time get hold apple or whenever acquire pear,F(get_hold_apple)|F(acquire_pear)
5931,"['go_to_flag', 'pass_by_trash_bin']",when possible go to flag and when possible pass by trash bin,F(go_to_flag)&F(pass_by_trash_bin)
1276,"['go_by_flag', 'go_to_tree']",when possible go by flag or at some time go to tree,F(go_by_flag)|F(go_to_tree)
5602,"['pass_by_waste_receptacle', 'venture_to_trash_can']",at some time pass by waste receptacle or venture to trash can,F(pass_by_waste_receptacle)|venture_to_trash_can
5430,"['go_by_trash_can', 'get_close_tree']",forever go by trash can and whenever get close tree,G(go_by_trash_can)&F(get_close_tree)
2379,"['withdraw_pear', 'migrate_to_tree']",when possible withdraw pear or when possible migrate to tree,F(withdraw_pear)|F(migrate_to_tree)
4407,"['approach_flag', 'pick_up_apple']",whenever approach flag and when possible pick up apple,F(approach_flag)&F(pick_up_apple)
5461,"['proceed_to_tree', 'travel_by_tree']",when possible proceed to tree until when possible travel by tree,F(proceed_to_tree)UF(travel_by_tree)
4366,"['go_to_orange', 'shift_to_flag']",go to orange and at any time shift to flag,go_to_orange&F(shift_to_flag)
5609,"['procure_pear', 'drop_orange']",at some time procure pear and drop orange,F(procure_pear)&drop_orange
2289,"['let_go_pear', 'start_going_to_house']",do not let go pear or whenever start going to house,~(let_go_pear)|F(start_going_to_house)
5286,"['journey_to_flag', 'travel_to_house']",whenever journey to flag and when possible travel to house,F(journey_to_flag)&F(travel_to_house)
2366,"['start_going_to_house', 'approach_trash_can']",at some time start going to house until approach trash can,F(start_going_to_house)Uapproach_trash_can
3768,"['take_orange', 'proceed_to_tree']",take orange and whenever proceed to tree,take_orange&F(proceed_to_tree)
1681,"['get_apple', 'proceed_to_flag']",whenever get apple or whenever proceed to flag,F(get_apple)|F(proceed_to_flag)
2559,"['drop_pear', 'let_go_apple']",never drop pear can infer that never let go apple,G(~(drop_pear))->G(~(let_go_apple))
3470,"['acquire_apple', 'make_contact_with_house']",acquire apple until at any time make contact with house,acquire_appleUF(make_contact_with_house)
1282,"['go_to_trash_can', 'drop_pear']",whenever go to trash can and never drop pear,F(go_to_trash_can)&G(~(drop_pear))
4762,"['grasp_apple', 'go_near_pear']",when possible grasp apple and at some time go near pear,F(grasp_apple)&F(go_near_pear)
